Age,2,3,Education,5,Marital-Status,Occupation,8,Race,10,11,12,13,14,15
30-40, Private,215373,University Education,13,Single, Exec-managerial, Not-in-family,Major Races, Male,0,0,70, United-States, <=50K
30-40, Self-emp-not-inc,169426,University Education,12,Married, Craft-repair, Husband,Major Races, Male,0,0,40, United-States, <=50K
40=50, Private,202856,University Education,10,Unmarried, Adm-clerical, Not-in-family,Major Races, Female,0,0,36, United-States, <=50K
30-40, Private,50276,University Education,13,Single, Exec-managerial, Not-in-family,Major Races, Male,0,0,40, United-States, <=50K
40=50, Self-emp-not-inc,187454,University Education,13,Married, Prof-specialty, Husband,Major Races, Male,0,0,40, United-States, <=50K
40=50, Private,126098,High School,9,Unmarried, Craft-repair, Unmarried,Major Races, Female,0,0,40, United-States, <=50K
10-20, Private,250639,University Education,10,Single, Other-service, Own-child,Major Races, Male,0,0,24, United-States, <=50K
50-64, Self-emp-inc,195366,University Education,13,Married, Prof-specialty, Husband,Major Races, Male,0,0,40, United-States, <=50K
50-64, Self-emp-not-inc,186845,University Education,13,Married, Farming-fishing, Husband,Major Races, Male,0,0,8, United-States, <=50K
10-20, Federal-gov,119156,High School,9,Single, Adm-clerical, Other-relative,Major Races, Male,0,0,20, United-States, <=50K
20-30, Private,162343,High School,9,Single, Other-service, Not-in-family,Major Races, Male,0,0,40, Puerto-Rico, <=50K
50-64, Private,108435,University Education,14,Married, Exec-managerial, Husband,Major Races, Male,0,1902,50, Greece, >50K
20-30, Self-emp-not-inc,394927,University Education,10,Single, Craft-repair, Not-in-family,Major Races, Male,0,0,45, United-States, <=50K
50-64, Private,172281,University Education,13,Unmarried, Sales, Not-in-family,Major Races, Male,0,0,40, United-States, <=50K
30-40, Private,370767,High School,9,Married, Prof-specialty, Husband,Major Races, Male,0,2377,60, United-States, <=50K
40=50, Private,352005,University Education,13,Married, Sales, Husband,Major Races, Male,15024,0,45, United-States, >50K
50-64, Private,165681,University Education,10,Married, Exec-managerial, Husband,Major Races, Male,0,0,40, United-States, <=50K
40=50, Private,258819,High School,9,Unmarried, Craft-repair, Not-in-family,Major Races, Male,0,0,40, United-States, >50K
20-30, Private,130793,University Education,10,Unmarried, Other-service, Not-in-family,Major Races, Male,0,0,30, United-States, <=50K
30-40, Private,118909,University Education,12,Single, Adm-clerical, Unmarried,Major Races, Female,0,0,40, Jamaica, <=50K
40=50, Private,202466,University Education,10,Married, Exec-managerial, Wife,Major Races, Female,0,0,60, United-States, <=50K
40=50, Private,161558,High School,6,Unmarried, Transport-moving, Not-in-family,Major Races, Male,0,0,45, United-States, <=50K
30-40, Private,188246,High School,9,Unmarried, Craft-repair, Own-child,Major Races, Male,0,0,40, United-States, <=50K
30-40, Private,160120,University Education,14,Single, Prof-specialty, Unmarried,Major Races, Male,0,0,40, South, <=50K
30-40, Private,144594,High School,9,Married, Adm-clerical, Husband,Major Races, Male,2829,0,40, United-States, <=50K
30-40, Self-emp-not-inc,123429,High School,9,Married, Sales, Husband,Major Races, Male,0,0,60, United-States, <=50K
30-40, Self-emp-inc,340110,University Education,10,Married, Sales, Husband,Major Races, Male,0,0,50, United-States, >50K
20-30, Private,523067,University Education,10,Single, Prof-specialty, Own-child,Major Races, Male,0,0,3, El-Salvador, <=50K
40=50, Self-emp-not-inc,113513,University Education,13,Married, Farming-fishing, Husband,Major Races, Male,0,0,50, United-States, <=50K
50-64, ?,186809,University Education,13,Married, ?, Husband,Major Races, Male,0,0,30, United-States, >50K
40=50, Self-emp-not-inc,320421,University Education,13,Unmarried, Prof-specialty, Not-in-family,Major Races, Male,0,0,25, United-States, <=50K
30-40, Local-gov,295589,University Education,10,Single, Adm-clerical, Own-child,Major Races, Male,0,0,40, United-States, <=50K
20-30, Private,370548,Trade School,11,Single, Craft-repair, Not-in-family,Major Races, Male,0,0,30, United-States, <=50K
10-20, Private,120572,University Education,10,Single, Other-service, Not-in-family,Major Races, Female,0,0,12, United-States, <=50K
50-64, Private,110977,University Education,16,Single, Exec-managerial, Not-in-family,Major Races, Male,0,0,40, United-States, >50K
20-30, Private,55860,University Education,10,Single, Adm-clerical, Not-in-family,Major Races, Female,0,0,40, United-States, <=50K
30-40, Private,158800,University Education,13,Married, Exec-managerial, Husband,Major Races, Male,0,0,50, United-States, >50K
30-40, Private,131568,High School,5,Single, Machine-op-inspct, Not-in-family,Major Races, Male,0,0,40, United-States, <=50K
40=50, Private,173613,High School,9,Unmarried, Sales, Unmarried,Major Races, Female,0,0,30, United-States, <=50K
20-30, Private,216867,Elementary,4,Married, Machine-op-inspct, Husband,Major Races, Male,0,0,40, Mexico, <=50K
30-40, Private,104089,Trade School,11,Single, Craft-repair, Own-child,Major Races, Male,0,0,40, United-States, <=50K
30-40, Private,208106,High School,9,Married, Sales, Husband,Major Races, Male,0,0,40, Ecuador, <=50K
20-30, State-gov,340269,University Education,10,Single, Protective-serv, Not-in-family,Major Races, Male,0,0,40, United-States, <=50K
20-30, Private,236246,University Education,12,Married, Exec-managerial, Husband,Major Races, Male,0,0,40, United-States, <=50K
40=50, Private,213408,University Education,10,Unmarried, Sales, Unmarried,Major Races, Female,0,0,40, Cuba, <=50K
30-40, ?,84232,High School,9,Single, ?, Not-in-family,Major Races, Female,0,0,4, United-States, <=50K
10-20, Private,302945,University Education,10,Single, Adm-clerical, Own-child,Major Races, Male,0,0,10, Thailand, <=50K
65-max, ?,28197,High School,9,Married, ?, Husband,Major Races, Male,0,0,60, United-States, >50K
10-20, Private,262749,University Education,10,Single, Other-service, Own-child,Major Races, Male,0,0,35, United-States, <=50K
30-40, Federal-gov,198265,University Education,13,Married, Protective-serv, Husband,Major Races, Male,0,0,60, United-States, <=50K
40=50, Private,170871,University Education,14,Married, Exec-managerial, Husband,Major Races, Male,0,0,45, United-States, >50K
50-64, Private,175689,University Education,10,Married, Adm-clerical, Wife,Major Races, Female,0,0,14, Cuba, >50K
40=50, Private,205100,University Education,13,Married, Exec-managerial, Husband,Major Races, Male,15024,0,60, United-States, >50K
20-30, Private,77759,University Education,10,Single, Sales, Own-child,Major Races, Female,0,0,15, United-States, <=50K
50-64, State-gov,77905,Trade School,11,Unmarried, Prof-specialty, Unmarried,Major Races, Female,0,0,40, United-States, <=50K
50-64, ?,193575,High School,7,Single, ?, Unmarried,Major Races, Male,0,0,40, United-States, <=50K
40=50, State-gov,116520,University Education,16,Married, Prof-specialty, Husband,Major Races, Male,0,0,40, United-States, >50K
10-20, ?,85154,High School,8,Single, ?, Own-child,Major Races, Female,0,0,24, Germany, <=50K
40=50, Private,180532,University Education,14,Unmarried, Prof-specialty, Not-in-family,Major Races, Male,0,0,40, United-States, <=50K
50-64, Private,508891,High School,9,Unmarried, Machine-op-inspct, Own-child,Major Races, Male,0,0,40, United-States, <=50K
10-20, Private,211345,University Education,10,Single, Handlers-cleaners, Own-child,Major Races, Female,0,0,20, United-States, <=50K
65-max, Self-emp-not-inc,170877,High School,9,Married, Sales, Husband,Major Races, Male,0,0,48, United-States, <=50K
10-20, ?,97318,High School,9,Single, ?, Own-child,Major Races, Female,0,0,35, United-States, <=50K
40=50, Private,184105,High School,9,Married, Handlers-cleaners, Husband,Major Races, Male,0,0,50, United-States, <=50K
40=50, Private,150941,High School,9,Unmarried, Machine-op-inspct, Unmarried,Major Races, Female,0,0,44, United-States, <=50K
30-40, Private,303942,High School,9,Married, Machine-op-inspct, Husband,Major Races, Male,0,0,40, United-States, <=50K
20-30, Local-gov,273929,High School,9,Single, Farming-fishing, Own-child,Major Races, Male,0,0,40, United-States, <=50K
30-40, Private,197077,High School,9,Married, Other-service, Husband,Major Races, Male,0,0,40, United-States, <=50K
50-64, Private,162825,High School,9,Married, Machine-op-inspct, Husband,Major Races, Male,0,0,40, United-States, >50K
40=50, Private,159869,High School,9,Unmarried, Exec-managerial, Not-in-family,Major Races, Male,0,0,44, United-States, <=50K
10-20, Private,158343,University Education,10,Single, Tech-support, Own-child,Major Races, Female,0,0,40, ?, <=50K
10-20, ?,406920,High School,6,Single, ?, Own-child,Major Races, Male,0,0,40, United-States, <=50K
20-30, Private,227986,High School,9,Single, Machine-op-inspct, Unmarried,Major Races, Female,0,0,40, United-States, <=50K
30-40, Private,137527,University Education,13,Single, Adm-clerical, Not-in-family,Major Races, Female,0,0,50, United-States, <=50K
30-40, Private,180150,High School,8,Unmarried, Handlers-cleaners, Not-in-family,Major Races, Male,0,0,40, United-States, <=50K
20-30, Private,239539,High School,9,Single, Machine-op-inspct, Own-child,Major Races, Male,0,0,40, Philippines, <=50K
50-64, Private,281792,University Education,13,Married, Prof-specialty, Husband,Major Races, Male,0,0,40, United-States, >50K
30-40, Private,224799,University Education,13,Married, Prof-specialty, Husband,Major Races, Male,0,0,45, United-States, <=50K
50-64, Private,292639,University Education,10,Married, Exec-managerial, Wife,Major Races, Female,10566,0,35, United-States, <=50K
65-max, Private,22313,High School,7,Married, Craft-repair, Husband,Major Races, Male,0,0,20, United-States, <=50K
40=50, Private,194636,High School,9,Married, Sales, Husband,Major Races, Male,0,0,40, United-States, <=50K
50-64, Private,156089,University Education,10,Unmarried, Adm-clerical, Unmarried,Major Races, Female,0,0,40, United-States, <=50K
50-64, Private,193720,University Education,10,Married, Exec-managerial, Husband,Major Races, Male,0,1977,40, United-States, >50K
20-30, Private,218667,High School,9,Married, Handlers-cleaners, Husband,Major Races, Male,0,0,40, United-States, <=50K
30-40, Private,358837,University Education,10,Single, Tech-support, Unmarried,Major Races, Female,0,0,40, United-States, <=50K
10-20, Private,174685,High School,9,Single, Other-service, Own-child,Major Races, Male,0,0,40, United-States, <=50K
30-40, Private,168854,High School,9,Married, Other-service, Husband,Major Races, Male,0,0,54, United-States, <=50K
20-30, Private,133696,University Education,13,Single, Sales, Unmarried,Major Races, Male,0,0,65, United-States, <=50K
20-30, Federal-gov,350680,University Education,12,Single, Exec-managerial, Own-child,Major Races, Female,0,0,40, Poland, <=50K
10-20, Private,115215,High School,9,Single, Other-service, Own-child,Major Races, Male,0,0,25, United-States, <=50K
40=50, Self-emp-not-inc,152958,High School,9,Married, Exec-managerial, Husband,Major Races, Male,0,0,35, United-States, >50K
20-30, Private,217200,High School,9,Married, Craft-repair, Husband,Major Races, Male,0,0,40, United-States, <=50K
30-40, Private,235124,University Education,10,Married, Protective-serv, Husband,Major Races, Male,0,0,46, Dominican-Republic, <=50K
30-40, Local-gov,144949,High School,9,Unmarried, Craft-repair, Unmarried,Major Races, Male,0,0,40, United-States, <=50K
50-64, Private,135470,Elementary,3,Married, Craft-repair, Husband,Major Races, Male,0,0,40, Mexico, <=50K
40=50, Private,281209,University Education,10,Married, Transport-moving, Husband,Major Races, Male,0,0,50, United-States, <=50K
40=50, Private,155489,University Education,14,Married, Exec-managerial, Husband,Major Races, Male,0,0,50, United-States, >50K
30-40, Private,290306,High School,9,Married, Craft-repair, Husband,Major Races, Male,0,0,40, United-States, >50K
10-20, Private,182042,High School,7,Single, Other-service, Own-child,Major Races, Female,0,0,19, United-States, <=50K
30-40, Private,210008,High School,9,Single, Sales, Own-child,Major Races, Female,0,0,40, United-States, <=50K
50-64, Private,234938,High School,9,Married, Sales, Husband,Major Races, Male,4064,0,55, United-States, <=50K
40=50, Private,315423,University Education,10,Married, Sales, Husband,Major Races, Male,0,2042,50, United-States, <=50K
20-30, Self-emp-not-inc,30244,High School,9,Single, Farming-fishing, Own-child,Major Races, Male,0,0,80, United-States, <=50K
40=50, Local-gov,30008,University Education,13,Married, Prof-specialty, Husband,Major Races, Male,0,0,45, United-States, >50K
30-40, Self-emp-not-inc,201328,Elementary,4,Married, Farming-fishing, Husband,Major Races, Male,0,0,56, United-States, <=50K
30-40, State-gov,96468,University Education,14,Single, Prof-specialty, Own-child,Major Races, Female,0,0,40, United-States, <=50K
20-30, Private,486332,High School,9,Unmarried, Other-service, Not-in-family,Major Races, Male,0,0,40, Mexico, <=50K
10-20, Private,46162,High School,9,Single, Farming-fishing, Own-child,Major Races, Male,0,0,25, United-States, <=50K
50-64, Local-gov,98350,University Education,10,Married, Other-service, Husband,Major Races, Male,0,0,60, Philippines, <=50K
40=50, Local-gov,175958,High School,5,Single, Other-service, Own-child,Major Races, Male,0,0,40, United-States, <=50K
20-30, Private,119309,University Education,10,Single, Tech-support, Own-child,Major Races, Male,0,1602,16, United-States, <=50K
40=50, Private,175935,High School,9,Unmarried, Transport-moving, Not-in-family,Major Races, Male,0,1980,46, United-States, <=50K
30-40, Private,204527,High School,9,Married, Craft-repair, Husband,Major Races, Male,0,0,50, United-States, <=50K
20-30, ?,57827,University Education,10,Single, ?, Own-child,Major Races, Male,0,0,40, United-States, <=50K
10-20, Private,418176,High School,9,Single, Exec-managerial, Not-in-family,Major Races, Male,0,0,32, United-States, <=50K
20-30, Private,262744,University Education,10,Single, Adm-clerical, Own-child,Major Races, Male,0,0,40, United-States, <=50K
20-30, Private,177287,University Education,10,Single, Handlers-cleaners, Own-child,Major Races, Female,0,0,30, United-States, <=50K
20-30, Private,255004,University Education,12,Unmarried, Sales, Not-in-family,Major Races, Male,0,0,52, United-States, <=50K
50-64, Private,183735,University Education,10,Married, Exec-managerial, Husband,Major Races, Male,0,0,40, United-States, <=50K
20-30, Self-emp-not-inc,318644,Trade School,15,Single, Prof-specialty, Own-child,Major Races, Male,0,0,20, United-States, <=50K
40=50, Federal-gov,132125,University Education,13,Married, Exec-managerial, Husband,Major Races, Male,0,0,52, United-States, >50K
30-40, Private,206051,High School,9,Married, Craft-repair, Husband,Major Races, Male,0,0,40, United-States, <=50K
50-64, Self-emp-inc,99185,University Education,16,Married, Prof-specialty, Husband,Major Races, Male,0,0,50, ?, >50K
30-40, Private,225750,University Education,13,Unmarried, Prof-specialty, Unmarried,Major Races, Female,0,0,32, United-States, <=50K
30-40, Private,245777,High School,9,Unmarried, Sales, Not-in-family,Major Races, Male,0,0,40, United-States, <=50K
40=50, Private,169092,High School,9,Unmarried, Sales, Not-in-family,Major Races, Female,0,0,55, United-States, <=50K
50-64, Private,211035,University Education,13,Married, Adm-clerical, Wife,Major Races, Female,0,0,30, United-States, >50K
20-30, Private,285432,High School,9,Single, Exec-managerial, Own-child,Major Races, Male,0,0,40, United-States, <=50K
40=50, Local-gov,154779,University Education,10,Unmarried, Adm-clerical, Not-in-family,Major Races, Female,0,0,40, United-States, <=50K
50-64, Private,37237,University Education,13,Married, Prof-specialty, Husband,Major Races, Male,0,0,40, United-States, >50K
50-64, Private,417419,Elementary,4,Unmarried, Machine-op-inspct, Own-child,Major Races, Male,0,0,40, United-States, <=50K
30-40, Self-emp-inc,33975,High School,9,Married, Craft-repair, Husband,Major Races, Male,0,0,50, United-States, <=50K
30-40, Private,42485,High School,9,Unmarried, Craft-repair, Unmarried,Major Races, Male,0,0,40, United-States, <=50K
20-30, Private,170017,University Education,13,Married, Prof-specialty, Husband,Major Races, Male,0,0,40, United-States, <=50K
20-30, Private,152683,High School,9,Married, Transport-moving, Husband,Major Races, Male,3908,0,35, United-States, <=50K
10-20, Private,41721,University Education,10,Single, Other-service, Own-child,Major Races, Male,0,0,60, United-States, <=50K
50-64, Private,66634,Elementary,4,Married, Craft-repair, Husband,Major Races, Male,0,0,40, United-States, <=50K
50-64, Self-emp-inc,257216,University Education,14,Unmarried, Sales, Not-in-family,Major Races, Female,0,0,40, United-States, <=50K
40=50, Private,167882,High School,9,Unmarried, Tech-support, Not-in-family,Major Races, Female,0,0,43, United-States, <=50K
40=50, Private,179428,University Education,10,Married, Transport-moving, Husband,Major Races, Male,0,0,55, United-States, <=50K
20-30, Private,57512,High School,9,Single, Transport-moving, Not-in-family,Major Races, Male,0,0,40, United-States, <=50K
30-40, Private,301614,High School,9,Married, Craft-repair, Husband,Major Races, Male,0,0,40, United-States, <=50K
20-30, Private,193820,University Education,13,Single, Sales, Not-in-family,Major Races, Female,0,1876,40, United-States, <=50K
50-64, Private,222247,High School,6,Married, Transport-moving, Husband,Major Races, Male,0,1887,40, United-States, >50K
30-40, Self-emp-inc,189092,University Education,13,Married, Exec-managerial, Husband,Major Races, Male,0,0,45, United-States, <=50K
40=50, Private,217509,High School,9,Unmarried, Priv-house-serv, Not-in-family,Major Races, Female,0,0,45, Thailand, <=50K
30-40, Private,308691,University Education,14,Married, Machine-op-inspct, Husband,Major Races, Male,0,0,48, United-States, <=50K
30-40, Private,169672,High School,9,Married, Exec-managerial, Husband,Major Races, Male,0,0,40, United-States, <=50K
40=50, Private,120914,High School,7,Married, Craft-repair, Husband,Major Races, Male,0,0,40, United-States, <=50K
30-40, Private,370156,High School,9,Unmarried, Adm-clerical, Unmarried,Major Races, Female,0,0,38, United-States, <=50K
20-30, Private,398220,Elementary,3,Single, Craft-repair, Other-relative,Major Races, Male,0,0,40, Mexico, <=50K
40=50, Self-emp-not-inc,208277,High School,9,Married, Machine-op-inspct, Wife,Major Races, Female,0,0,45, United-States, <=50K
30-40, Private,337456,High School,9,Unmarried, Protective-serv, Unmarried,Major Races, Female,0,0,40, United-States, <=50K
50-64, Private,172666,University Education,10,Married, Craft-repair, Husband,Major Races, Male,0,0,40, United-States, >50K
20-30, Self-emp-not-inc,32280,High School,9,Single, Farming-fishing, Not-in-family,Major Races, Male,0,0,45, United-States, <=50K
30-40, Private,194901,High School,9,Married, Craft-repair, Husband,Major Races, Male,0,0,45, United-States, <=50K
10-20, ?,57329,University Education,10,Single, ?, Own-child,Major Races, Female,0,0,30, Japan, <=50K
30-40, Private,173730,University Education,13,Married, Exec-managerial, Husband,Major Races, Male,7688,0,40, United-States, >50K
40=50, Local-gov,153312,University Education,14,Married, Prof-specialty, Husband,Major Races, Male,0,0,10, United-States, >50K
20-30, Private,274797,High School,9,Single, Handlers-cleaners, Own-child,Major Races, Male,0,0,25, United-States, <=50K
30-40, Private,359249,Trade School,11,Single, Protective-serv, Own-child,Major Races, Male,0,0,40, United-States, <=50K
20-30, Private,152744,University Education,10,Single, Other-service, Not-in-family,Major Races, Female,0,0,40, Philippines, <=50K
50-64, Private,188041,High School,9,Unmarried, Handlers-cleaners, Not-in-family,Major Races, Male,0,0,40, United-States, <=50K
30-40, Private,97723,University Education,10,Single, Craft-repair, Not-in-family,Major Races, Male,0,0,38, United-States, <=50K
40=50, State-gov,354529,University Education,10,Single, Adm-clerical, Not-in-family,Major Races, Female,0,0,40, United-States, <=50K
20-30, Private,249727,University Education,10,Single, Adm-clerical, Own-child,Major Races, Male,0,0,30, United-States, <=50K
20-30, Private,189590,University Education,10,Single, Adm-clerical, Not-in-family,Major Races, Male,0,0,30, United-States, <=50K
20-30, State-gov,298871,University Education,10,Married, Adm-clerical, Husband,Major Races, Male,0,0,40, Vietnam, <=50K
50-64, Self-emp-not-inc,205296,University Education,10,Married, Sales, Wife,Major Races, Female,0,0,50, United-States, <=50K
40=50, Private,303637,High School,9,Married, Exec-managerial, Husband,Major Races, Male,0,0,49, United-States, >50K
40=50, Private,242861,High School,9,Married, Transport-moving, Husband,Major Races, Male,0,0,40, United-States, <=50K
20-30, Private,37599,University Education,10,Single, Other-service, Not-in-family,Major Races, Male,0,0,24, United-States, <=50K
30-40, State-gov,199381,University Education,14,Married, Prof-specialty, Wife,Major Races, Female,15024,0,37, United-States, >50K
30-40, Self-emp-not-inc,56328,University Education,13,Married, Prof-specialty, Wife,Major Races, Female,0,0,8, United-States, >50K
10-20, Private,256211,University Education,10,Single, Machine-op-inspct, Other-relative,Major Races, Male,0,0,40, Vietnam, <=50K
65-max, Local-gov,163685,High School,9,Unmarried, Exec-managerial, Not-in-family,Major Races, Female,0,0,33, United-States, <=50K
30-40, Private,266084,University Education,10,Unmarried, Craft-repair, Other-relative,Major Races, Male,0,0,50, United-States, <=50K
30-40, Private,161111,University Education,13,Single, Sales, Not-in-family,Major Races, Female,0,0,40, United-States, <=50K
40=50, Private,199031,University Education,10,Unmarried, Transport-moving, Own-child,Major Races, Male,0,1380,40, United-States, <=50K
40=50, Private,166634,University Education,10,Unmarried, Exec-managerial, Unmarried,Major Races, Female,0,0,40, Germany, <=50K
50-64, Self-emp-not-inc,204085,University Education,10,Married, Sales, Husband,Major Races, Male,0,0,25, United-States, <=50K
10-20, ?,369527,University Education,10,Single, ?, Own-child,Major Races, Female,0,0,40, United-States, <=50K
40=50, Private,464945,High School,9,Single, Transport-moving, Not-in-family,Major Races, Male,0,0,45, United-States, <=50K
40=50, Local-gov,174684,High School,9,Unmarried, Craft-repair, Unmarried,Major Races, Male,0,0,40, United-States, <=50K
20-30, Local-gov,166295,University Education,13,Married, Adm-clerical, Husband,Major Races, Male,0,0,41, United-States, <=50K
30-40, Private,220511,University Education,10,Married, Craft-repair, Husband,Major Races, Male,0,0,40, United-States, <=50K
50-64, Private,246936,High School,7,Married, Other-service, Husband,Major Races, Male,0,0,40, United-States, <=50K
30-40, Private,104509,University Education,10,Unmarried, Adm-clerical, Unmarried,Major Races, Female,0,0,40, United-States, <=50K
40=50, ?,266337,High School,9,Married, ?, Husband,Major Races, Male,0,0,40, United-States, <=50K
30-40, Private,252168,High School,9,Married, Transport-moving, Husband,Major Races, Male,0,0,40, United-States, <=50K
20-30, Private,92093,University Education,13,Married, Exec-managerial, Husband,Major Races, Male,0,0,20, United-States, <=50K
50-64, Private,88055,University Education,13,Married, Machine-op-inspct, Husband,Major Races, Male,0,0,40, United-States, <=50K
30-40, Private,129591,University Education,10,Married, Craft-repair, Husband,Major Races, Male,0,0,40, United-States, <=50K
40=50, Private,142719,High School,9,Unmarried, Farming-fishing, Not-in-family,Major Races, Male,0,0,65, United-States, <=50K
10-20, ?,264924,University Education,10,Single, ?, Own-child,Major Races, Female,0,0,40, United-States, <=50K
40=50, Private,128796,University Education,13,Married, Exec-managerial, Husband,Major Races, Male,0,0,44, United-States, >50K
30-40, Private,115336,High School,9,Unmarried, Other-service, Unmarried,Major Races, Female,0,0,70, United-States, <=50K
50-64, Private,190333,University Education,10,Married, Adm-clerical, Husband,Major Races, Male,0,0,40, United-States, >50K
50-64, Self-emp-not-inc,179444,Elementary,4,Married, Exec-managerial, Husband,Major Races, Male,0,0,15, United-States, <=50K
40=50, Private,218676,University Education,10,Married, Machine-op-inspct, Husband,Major Races, Male,0,0,43, United-States, <=50K
10-20, Local-gov,148194,High School,7,Single, Adm-clerical, Own-child,Major Races, Female,0,0,12, United-States, <=50K
30-40, Private,184833,High School,9,Single, Other-service, Not-in-family,Major Races, Female,0,0,35, United-States, <=50K
65-max, Self-emp-not-inc,280639,High School,9,Unmarried, Other-service, Other-relative,Major Races, Female,2329,0,20, United-States, <=50K
10-20, Private,217769,University Education,10,Single, Other-service, Own-child,Major Races, Female,0,0,15, United-States, <=50K
20-30, ?,180553,High School,9,Married, ?, Wife,Major Races, Female,0,0,40, United-States, >50K
50-64, Private,56009,University Education,10,Married, Sales, Husband,Major Races, Male,0,0,40, United-States, <=50K
30-40, Private,255334,University Education,13,Married, Prof-specialty, Husband,Major Races, Male,0,0,25, United-States, >50K
40=50, Self-emp-inc,328216,University Education,13,Married, Sales, Husband,Major Races, Male,0,1902,42, ?, >50K
20-30, Private,349154,High School,6,Unmarried, Farming-fishing, Unmarried,Major Races, Female,0,0,40, Guatemala, <=50K
30-40, Local-gov,24763,University Education,10,Unmarried, Transport-moving, Unmarried,Major Races, Male,6849,0,40, United-States, <=50K
40=50, State-gov,41834,High School,9,Married, Transport-moving, Husband,Major Races, Male,0,0,38, United-States, >50K
20-30, Private,113466,High School,9,Single, Sales, Not-in-family,Major Races, Male,0,0,40, United-States, <=50K
20-30, Private,130856,University Education,10,Married, Craft-repair, Husband,Major Races, Male,0,0,60, United-States, <=50K
50-64, Self-emp-not-inc,268797,High School,9,Married, Other-service, Wife,Major Races, Female,0,0,17, United-States, <=50K
40=50, Private,202117,High School,7,Unmarried, Other-service, Not-in-family,Major Races, Female,0,0,34, United-States, <=50K
10-20, Private,280146,University Education,10,Single, Handlers-cleaners, Own-child,Major Races, Male,0,0,20, United-States, <=50K
20-30, Private,70377,University Education,10,Single, Machine-op-inspct, Not-in-family,Major Races, Female,0,0,40, United-States, <=50K
20-30, Private,236696,University Education,10,Single, Other-service, Not-in-family,Major Races, Male,0,0,30, United-States, <=50K
30-40, Local-gov,222572,University Education,14,Single, Prof-specialty, Unmarried,Major Races, Female,0,0,43, United-States, <=50K
40=50, Self-emp-inc,110702,University Education,10,Unmarried, Exec-managerial, Unmarried,Major Races, Female,2036,0,60, United-States, <=50K
30-40, Private,96129,High School,9,Married, Sales, Husband,Major Races, Male,0,0,72, United-States, >50K
20-30, Local-gov,200492,University Education,13,Single, Prof-specialty, Own-child,Major Races, Female,0,0,40, United-States, <=50K
20-30, Private,193820,University Education,14,Single, Prof-specialty, Own-child,Major Races, Female,0,0,40, United-States, <=50K
30-40, Private,454508,High School,7,Single, Craft-repair, Not-in-family,Major Races, Male,0,2001,40, United-States, <=50K
50-64, Private,220789,University Education,13,Unmarried, Transport-moving, Not-in-family,Major Races, Male,0,0,45, United-States, <=50K
30-40, Private,101345,High School,9,Married, Exec-managerial, Wife,Major Races, Female,0,0,42, Canada, >50K
30-40, Private,140559,High School,9,Unmarried, Other-service, Unmarried,Major Races, Female,0,0,25, United-States, <=50K
30-40, Self-emp-inc,64885,University Education,14,Married, Sales, Husband,Major Races, Male,0,0,70, United-States, >50K
30-40, Private,402361,High School,9,Married, Craft-repair, Husband,Major Races, Male,0,0,40, United-States, <=50K
30-40, Private,143582,High School,9,Unmarried, Other-service, Unmarried,Major Races, Female,0,0,48, China, <=50K
40=50, Private,185385,University Education,12,Married, Sales, Husband,Major Races, Male,0,0,45, United-States, <=50K
20-30, Private,112706,Trade School,11,Single, Tech-support, Own-child,Major Races, Male,0,0,40, United-States, <=50K
40=50, Private,130364,High School,9,Single, Craft-repair, Unmarried,Major Races, Male,0,0,40, United-States, <=50K
50-64, Local-gov,147428,University Education,14,Married, Prof-specialty, Husband,Major Races, Male,0,0,40, United-States, >50K
10-20, Private,205895,University Education,10,Single, Sales, Own-child,Major Races, Female,0,0,20, United-States, <=50K
65-max, ?,273569,High School,9,Unmarried, ?, Unmarried,Major Races, Male,0,0,40, United-States, <=50K
40=50, Private,153160,University Education,10,Married, Adm-clerical, Wife,Major Races, Female,0,0,40, United-States, <=50K
40=50, Self-emp-not-inc,167918,University Education,14,Married, Sales, Husband,Major Races, Male,0,0,50, India, <=50K
40=50, Private,195661,University Education,10,Married, Transport-moving, Husband,Major Races, Male,0,0,54, United-States, <=50K
20-30, State-gov,146243,University Education,10,Unmarried, Other-service, Not-in-family,Major Races, Female,0,0,30, United-States, <=50K
50-64, ?,105428,University Education,10,Married, ?, Husband,Major Races, Male,0,0,12, United-States, <=50K
20-30, Private,149943,High School,9,Single, Other-service, Other-relative,Major Races, Male,0,0,60, ?, <=50K
50-64, Local-gov,246197,High School,9,Married, Craft-repair, Husband,Major Races, Male,0,0,40, United-States, <=50K
50-64, Local-gov,192563,University Education,10,Unmarried, Exec-managerial, Not-in-family,Major Races, Female,0,0,38, United-States, <=50K
10-20, Private,244115,High School,9,Single, Other-service, Own-child,Major Races, Male,0,0,30, United-States, <=50K
30-40, Local-gov,98587,University Education,10,Unmarried, Prof-specialty, Own-child,Major Races, Female,0,0,45, United-States, <=50K
40=50, Private,145886,University Education,10,Unmarried, Other-service, Unmarried,Major Races, Female,0,0,40, United-States, <=50K
40=50, Private,192779,University Education,10,Unmarried, Craft-repair, Not-in-family,Major Races, Male,0,0,40, United-States, <=50K
40=50, Private,209464,High School,9,Unmarried, Other-service, Unmarried,Major Races, Female,0,0,35, United-States, <=50K
50-64, Private,25141,University Education,10,Married, Transport-moving, Husband,Major Races, Male,0,0,60, United-States, <=50K
20-30, Private,405793,University Education,12,Married, Tech-support, Husband,Major Races, Male,0,0,45, United-States, >50K
